Date,Units Sold
01-01-2022,127
01-01-2022,150
01-01-2022,65
01-01-2022,61
01-01-2022,14
01-01-2022,128
01-01-2022,97
01-01-2022,312
01-01-2022,175
01-01-2022,28
01-01-2022,150
01-01-2022,24
01-01-2022,42
01-01-2022,12
01-01-2022,369
01-01-2022,255
01-01-2022,246
01-01-2022,151
01-01-2022,257
01-01-2022,99
01-01-2022,104
01-01-2022,141
01-01-2022,182
01-01-2022,63
01-01-2022,156
01-01-2022,250
01-01-2022,393
01-01-2022,29
01-01-2022,9
01-01-2022,126
01-01-2022,13
01-01-2022,25
01-01-2022,283
01-01-2022,359
01-01-2022,129
01-01-2022,63
01-01-2022,373
01-01-2022,160
01-01-2022,15
01-01-2022,101
01-01-2022,147
01-01-2022,4
01-01-2022,77
01-01-2022,31
01-01-2022,325
01-01-2022,163
01-01-2022,34
01-01-2022,47
01-01-2022,15
01-01-2022,126
01-01-2022,232
01-01-2022,175
01-01-2022,17
01-01-2022,369
01-01-2022,260
01-01-2022,347
01-01-2022,150
01-01-2022,70
01-01-2022,249
01-01-2022,370
01-01-2022,271
01-01-2022,180
01-01-2022,344
01-01-2022,0
01-01-2022,200
01-01-2022,382
01-01-2022,190
01-01-2022,51
01-01-2022,40
01-01-2022,104
01-01-2022,46
01-01-2022,9
01-01-2022,56
01-01-2022,63
01-01-2022,181
01-01-2022,94
01-01-2022,46
01-01-2022,8
01-01-2022,172
01-01-2022,68
01-01-2022,77
01-01-2022,298
01-01-2022,64
01-01-2022,300
01-01-2022,21
01-01-2022,176
01-01-2022,131
01-01-2022,317
01-01-2022,97
01-01-2022,8
01-01-2022,104
01-01-2022,87
01-01-2022,238
01-01-2022,171
01-01-2022,250
01-01-2022,11
01-01-2022,371
01-01-2022,107
01-01-2022,106
01-01-2022,101
02-01-2022,81
02-01-2022,163
02-01-2022,464
02-01-2022,116
02-01-2022,200
02-01-2022,58
02-01-2022,56
02-01-2022,74
02-01-2022,54
02-01-2022,39
02-01-2022,12
02-01-2022,56
02-01-2022,31
02-01-2022,25
02-01-2022,198
02-01-2022,77
02-01-2022,165
02-01-2022,42
02-01-2022,8
02-01-2022,174
02-01-2022,343
02-01-2022,71
02-01-2022,157
02-01-2022,88
02-01-2022,64
02-01-2022,273
02-01-2022,247
02-01-2022,42
02-01-2022,197
02-01-2022,374
02-01-2022,154
02-01-2022,236
02-01-2022,278
02-01-2022,27
02-01-2022,106
02-01-2022,154
02-01-2022,176
02-01-2022,124
02-01-2022,479
02-01-2022,78
02-01-2022,114
02-01-2022,2
02-01-2022,7
02-01-2022,54
02-01-2022,282
02-01-2022,93
02-01-2022,85
02-01-2022,136
02-01-2022,140
02-01-2022,79
02-01-2022,106
02-01-2022,1
02-01-2022,203
02-01-2022,368
02-01-2022,286
02-01-2022,69
02-01-2022,52
02-01-2022,109
02-01-2022,50
02-01-2022,0
02-01-2022,22
02-01-2022,45
02-01-2022,89
02-01-2022,209
02-01-2022,4
02-01-2022,47
02-01-2022,115
02-01-2022,27
02-01-2022,90
02-01-2022,206
02-01-2022,328
02-01-2022,155
02-01-2022,184
02-01-2022,16
